location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
2163162,BZ-2,co,644.571,µg/m³,2025-11-12T01:00:00Z,2025-11-12T03:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,co,617.962,µg/m³,2025-11-12T02:00:00Z,2025-11-12T04:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,co,641.244,µg/m³,2025-11-12T03:00:00Z,2025-11-12T05:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,co,563.079,µg/m³,2025-11-12T06:00:00Z,2025-11-12T08:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,co,590.568,µg/m³,2025-11-12T07:00:00Z,2025-11-12T09:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,co,767.166,µg/m³,2025-11-12T09:00:00Z,2025-11-12T11:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,co,695.742,µg/m³,2025-11-12T10:00:00Z,2025-11-12T12:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,co,644.851,µg/m³,2025-11-12T11:00:00Z,2025-11-12T13:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,co,635.632,µg/m³,2025-11-12T12:00:00Z,2025-11-12T14:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,co,673.635,µg/m³,2025-11-12T13:00:00Z,2025-11-12T15:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,co,745.669,µg/m³,2025-11-12T14:00:00Z,2025-11-12T16:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,co,694.951,µg/m³,2025-11-12T15:00:00Z,2025-11-12T17:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,co,895.478,µg/m³,2025-11-12T16:00:00Z,2025-11-12T18:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,co,926.086,µg/m³,2025-11-12T17:00:00Z,2025-11-12T19:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,co,1261.623,µg/m³,2025-11-12T18:00:00Z,2025-11-12T20:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,co,955.258,µg/m³,2025-11-12T19:00:00Z,2025-11-12T21:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,co,659.272,µg/m³,2025-11-12T21:00:00Z,2025-11-12T23:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,co,628.003,µg/m³,2025-11-12T22:00:00Z,2025-11-13T00:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,co,634.45,µg/m³,2025-11-13T00:00:00Z,2025-11-13T02:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,no2,8.251667,µg/m³,2025-11-12T01:00:00Z,2025-11-12T03:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,no2,7.847492,µg/m³,2025-11-12T02:00:00Z,2025-11-12T04:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,no2,12.0236864,µg/m³,2025-11-12T03:00:00Z,2025-11-12T05:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,no2,6.036821,µg/m³,2025-11-12T06:00:00Z,2025-11-12T08:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,no2,-1,µg/m³,2025-11-12T07:00:00Z,2025-11-12T09:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,no2,11.89688,µg/m³,2025-11-12T09:00:00Z,2025-11-12T11:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,no2,39.95408,µg/m³,2025-11-12T10:00:00Z,2025-11-12T12:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,no2,25.6531563,µg/m³,2025-11-12T11:00:00Z,2025-11-12T13:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,no2,27.6300755,µg/m³,2025-11-12T12:00:00Z,2025-11-12T14:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,no2,37.8360672,µg/m³,2025-11-12T13:00:00Z,2025-11-12T15:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,no2,33.8524971,µg/m³,2025-11-12T14:00:00Z,2025-11-12T16:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,no2,28.09282,µg/m³,2025-11-12T15:00:00Z,2025-11-12T17:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,no2,39.7706566,µg/m³,2025-11-12T16:00:00Z,2025-11-12T18:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,no2,32.96275,µg/m³,2025-11-12T17:00:00Z,2025-11-12T19:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,no2,23.2533073,µg/m³,2025-11-12T18:00:00Z,2025-11-12T20:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,no2,12.283145,µg/m³,2025-11-12T19:00:00Z,2025-11-12T21:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,no2,7.296728,µg/m³,2025-11-12T21:00:00Z,2025-11-12T23:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,no2,6.224494,µg/m³,2025-11-12T22:00:00Z,2025-11-13T00:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,no2,7.927668,µg/m³,2025-11-13T00:00:00Z,2025-11-13T02:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,pm10,-1,µg/m³,2025-11-12T01:00:00Z,2025-11-12T03:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,pm10,-1,µg/m³,2025-11-12T02:00:00Z,2025-11-12T04:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,pm10,-1,µg/m³,2025-11-12T03:00:00Z,2025-11-12T05:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,pm10,-1,µg/m³,2025-11-12T06:00:00Z,2025-11-12T08:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,pm10,-1,µg/m³,2025-11-12T07:00:00Z,2025-11-12T09:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,pm10,-1,µg/m³,2025-11-12T09:00:00Z,2025-11-12T11:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,pm10,-1,µg/m³,2025-11-12T10:00:00Z,2025-11-12T12:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,pm10,-1,µg/m³,2025-11-12T11:00:00Z,2025-11-12T13:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,pm10,-1,µg/m³,2025-11-12T12:00:00Z,2025-11-12T14:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,pm10,-1,µg/m³,2025-11-12T13:00:00Z,2025-11-12T15:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,pm10,-1,µg/m³,2025-11-12T14:00:00Z,2025-11-12T16:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,pm10,-1,µg/m³,2025-11-12T15:00:00Z,2025-11-12T17:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,pm10,-1,µg/m³,2025-11-12T16:00:00Z,2025-11-12T18:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,pm10,-1,µg/m³,2025-11-12T17:00:00Z,2025-11-12T19:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,pm10,-1,µg/m³,2025-11-12T18:00:00Z,2025-11-12T20:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,pm10,-1,µg/m³,2025-11-12T19:00:00Z,2025-11-12T21:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,pm10,-1,µg/m³,2025-11-12T21:00:00Z,2025-11-12T23:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,pm10,-1,µg/m³,2025-11-12T22:00:00Z,2025-11-13T00:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,pm10,-1,µg/m³,2025-11-13T00:00:00Z,2025-11-13T02:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,so2,8.428304,µg/m³,2025-11-12T01:00:00Z,2025-11-12T03:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,so2,8.293249,µg/m³,2025-11-12T02:00:00Z,2025-11-12T04:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,so2,8.316364,µg/m³,2025-11-12T03:00:00Z,2025-11-12T05:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,so2,-1,µg/m³,2025-11-12T06:00:00Z,2025-11-12T08:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,so2,8.51706,µg/m³,2025-11-12T07:00:00Z,2025-11-12T09:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,so2,8.47583,µg/m³,2025-11-12T09:00:00Z,2025-11-12T11:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,so2,8.834224,µg/m³,2025-11-12T10:00:00Z,2025-11-12T12:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,so2,8.430163,µg/m³,2025-11-12T11:00:00Z,2025-11-12T13:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,so2,8.637947,µg/m³,2025-11-12T12:00:00Z,2025-11-12T14:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,so2,8.68303,µg/m³,2025-11-12T13:00:00Z,2025-11-12T15:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,so2,8.702887,µg/m³,2025-11-12T14:00:00Z,2025-11-12T16:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,so2,8.531981,µg/m³,2025-11-12T15:00:00Z,2025-11-12T17:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,so2,8.454427,µg/m³,2025-11-12T16:00:00Z,2025-11-12T18:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,so2,8.774028,µg/m³,2025-11-12T17:00:00Z,2025-11-12T19:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,so2,8.883797,µg/m³,2025-11-12T18:00:00Z,2025-11-12T20:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,so2,8.841263,µg/m³,2025-11-12T19:00:00Z,2025-11-12T21:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,so2,8.827664,µg/m³,2025-11-12T21:00:00Z,2025-11-12T23:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,so2,8.497373,µg/m³,2025-11-12T22:00:00Z,2025-11-13T00:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
2163162,BZ-2,so2,8.701783,µg/m³,2025-11-13T00:00:00Z,2025-11-13T02:00:00+02:00,Europe/Bucharest,45.392122,27.044617,,,,Unknown Governmental Organization,EEA
